Restaurant,Overall Rating,Cleaned Review,Review Rating,Sentiment Score,Sentiment,Positive %,Neutral %,Negative %
Bull 'N Mouth,3.9,tuesday night trivia night whole crowd people filled place food good decent price point service great atmosphere place,4,0.4533333333333333,Positive,80.0,0.0,20.0
Bull 'N Mouth,3.9,service good even lively crowd cocktail okay bit sweet tritip sandwich good would come back said youre looking go dinner somewhere affordable place price food wasnt justifiable id go back happy hour apps cant see going back lunchdinner expensive,3,0.2686363636363637,Positive,80.0,0.0,20.0
Bull 'N Mouth,3.9,first time eating july th one restaurant open holiday waitress doppelgnger reese witherspoon spoke looked like anyway didnt catch actual name probably one best waitstaff long time attentive everyone attending food good highly recommend buffalo cauliflower friend mac cheese delicious also hatch burger sub impossible burger yummy would recommend place visiting downtown davis,5,0.2793333333333333,Positive,80.0,0.0,20.0
Bull 'N Mouth,3.9,food look amazing taste awful tritip bristle hush puppy dense dry honey butter taste like nothing beer cheese taste like glass stale beer cole slaw warm bland husband excited try place spent two meal small side gross,1,-0.05083333333333332,Negative,80.0,0.0,20.0
Bull 'N Mouth,3.9,pandemic irish pub davis loved disappeared year space vacant bull n mouth finally opened door good thing preserved previous decoration even furniture gorgeous term ambience decoration place menu consists mostly would consider reelaborated bar food interesting original twist classic dish got cheeseburger fry order fried green bean food ok say price bit high offered something also found confusing lot waiter standing around without much yet place order stand walk bar price least come table take order,3,0.2209375,Positive,80.0,0.0,20.0
Yuchan Shokudo (formerly Yakitori Yuchan),4.5,appear quite busy arrived assumed local favorite plus japanese coworker recommended place try although different ownership last time isnt average sitdown restaurant order pay seated complaint regarding takoyaki delicious although lukewarm served u start eating quickly getting cold getting main course although quality ramen satisfaction couldnt get pricey small portioned food served one slice pork half egg bowl personally plan coming back know place serve larger portion much cheaper price perhaps due location davis entirely sure,3,0.06041666666666666,Positive,100.0,0.0,0.0
Yuchan Shokudo (formerly Yakitori Yuchan),4.5,solid selection japanese food good rice bowl ramen one best japanese restaurant area,5,0.33999999999999997,Positive,100.0,0.0,0.0
Yuchan Shokudo (formerly Yakitori Yuchan),4.5,one gotos davis order pay sitting didnt realize legit sitdown didnt tip much sorry ramen one best bowl ive ever favorite soup usually plain dont ton different fancy ingredient theyre good ingredient wellbalanced cooked long enough wasnt salty thick didnt get bored taste noodle good bite pork tender enough fatty larger portion size always bit wait long min nice interior dark stained wood,5,0.09033613445378151,Positive,100.0,0.0,0.0
Yuchan Shokudo (formerly Yakitori Yuchan),4.5,third time love place something everyone group vibe one best davis allen always welcoming helpful menu drink choice tell passionate work thats kind place want keep coming back best gyoza town far dont stop entree get apps squash fry good server nice good music new special every time weve always left happy,5,0.42956709956709954,Positive,100.0,0.0,0.0
Yuchan Shokudo (formerly Yakitori Yuchan),4.5,hand best ramen ever try tonkatsu amazing sometimes come comfort food good staff friendly speaking rough day work empathized gave free beer thats amazing service,5,0.5107142857142857,Positive,100.0,0.0,0.0
Paesanos,4.4,paesanos always good choice pasta love bocce ball highly recommend sharing usual tortellini love plate enough split two take go get busy might want check wait time ahead arrival,5,0.24428571428571427,Positive,100.0,0.0,0.0
